○ Video  --vid=1  (h264 1024x576 30 fps 3134 kbps) [default]
○ Video  --vid=2  (h264 1280x720 30 fps 4953 kbps) [default]
○ Video  --vid=3  (h264 1920x1080 30 fps 9915 kbps) [default]
○ Video  --vid=4  (h264 320x180 30 fps 254 kbps) [default]
○ Video  --vid=5  (h264 320x180 30 fps 507 kbps) [default]
○ Video  --vid=6  (h264 480x270 30 fps 760 kbps) [default]
● Video  --vid=7  (h264 640x360 30 fps 1255 kbps) [default]
○ Video  --vid=8  (h264 640x360 30 fps 1013 kbps) [default]
○ Video  --vid=9  (h264 768x432 30 fps 1884 kbps) [default]
○ Video  --vid=10 (h264 3840x2160 30 fps 14932 kbps) [default]
○ Audio  --aid=1  (aac 2ch 48000 Hz 65 kbps) [default]
VO: [wlshm] 640x360 yuv420p
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=0 cache=5.9
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=0 cache=5.8667
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=0 cache=5.8333
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=1 cache=5.8333
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=1 cache=5.8
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=2 cache=5.7667
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=3 cache=5.7333
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=3 cache=5.7
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=4 cache=5.6667
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=4 cache=5.6333
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=4 cache=5.6
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=5 cache=5.5667
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=5 cache=5.5333
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=5 cache=5.5
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=5 cache=5.4667
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=5 cache=5.4333
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=6 cache=5.4
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=6 cache=5.3667
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=6 cache=5.3333
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=6 cache=5.3
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=7 cache=5.2667
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=7 cache=5.2333
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=8 cache=5.3
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=9 cache=6.0667
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=9 cache=6.6
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=9 cache=7.1333
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=10 cache=8.5
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=11 cache=9.0333
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=11 cache=9
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=12 cache=8.9667
pos=00:00:30 fps=30 decoder_drop=0 vo_drop=12 cache=8.9333
pos=00:00:31 fps=30 decoder_drop=0 vo_drop=13 cache=8.9
pos=00:00:31 fps=30 decoder_drop=0 vo_drop=13 cache=8.8667
pos=00:00:31 fps=30 decoder_drop=0 vo_drop=14 cache=8.8333
